title,artist,year
hey  soul sister,train,2010
love the way you lie,eminem,2010
tik tok,kesha,2010
bad romance,lady gaga,2010
just the way you are,bruno mars,2010
baby,justin bieber,2010
dynamite,taio cruz,2010
secrets,onerepublic,2010
empire state of mind (part ii) broken down,alicia keys,2010
only girl (in the world),rihanna,2010
club can't handle me (feat. david guetta),flo rida,2010
marry you,bruno mars,2010
cooler than me - single mix,mike posner,2010
telephone,lady gaga,2010
like a g6,far east movement,2010
omg (feat. will.i.am),usher,2010
eenie meenie,sean kingston,2010
the time (dirty bit),the black eyed peas,2010
alejandro,lady gaga,2010
your love is my drug,kesha,2010
meet me halfway,the black eyed peas,2010
whataya want from me,adam lambert,2010
take it off,kesha,2010
misery,maroon 5,2010
all the right moves,onerepublic,2010
animal,neon trees,2010
naturally,selena gomez & the scene,2010
i like it,enrique iglesias,2010
teenage dream,katy perry,2010
california gurls,katy perry,2010
3,britney spears,2010
my first kiss - feat. ke$ha,3oh!3,2010
blah blah blah (feat. 3oh!3),kesha,2010
imma be,the black eyed peas,2010
try sleeping with a broken heart,alicia keys,2010
sexy bitch (feat. akon),david guetta,2010
bound to you - burlesque original motion picture soundtrack,christina aguilera,2010
if i had you,adam lambert,2010
rock that body,the black eyed peas,2010
dog days are over,florence + the machine,2010
something's got a hold on me - burlesque original motion picture soundtrack,christina aguilera,2010
doesn't mean anything,alicia keys,2010
hard,rihanna,2010
loca,shakira,2010
you lost me,christina aguilera,2010
not myself tonight,christina aguilera,2010
written in the stars (feat. eric turner),tinie tempah,2010
dj got us fallin' in love (feat. pitbull),usher,2010
castle walls (feat. christina aguilera),t.i.,2010
break your heart,taio cruz,2010
hello,martin solveig,2010
a thousand years,christina perri,2011
someone like you,adele,2011
give me everything,pitbull,2011
just the way you are,bruno mars,2011
rolling in the deep,adele,2011
run the world (girls),beyonc�,2011
moves like jagger - studio recording from the voice performance,maroon 5,2011
love on top,beyonc�,2011
grenade,bruno mars,2011
tonight tonight,hot chelle rae,2011
what the hell,avril lavigne,2011
born this way,lady gaga,2011
monster,kanye west,2011
marry you,bruno mars,2011
best thing i never had,beyonc�,2011
party rock anthem,lmfao,2011
we r who we r,kesha,2011
price tag,jessie j,2011
good life,onerepublic,2011
just can�t get enough,the black eyed peas,2011
on the floor,jennifer lopez,2011
what's my name?,rihanna,2011
yeah 3x,chris brown,2011
without you (feat. usher),david guetta,2011
sexy and i know it,lmfao,2011
the edge of glory,lady gaga,2011
e.t.,katy perry,2011
till the world ends,britney spears,2011
i wanna go,britney spears,2011
blow,kesha,2011
you and i,lady gaga,2011
judas,lady gaga,2011
tonight (i'm fuckin' you),enrique iglesias,2011
please don't go,mike posner,2011
we found love,rihanna,2011
marry the night,lady gaga,2011
1+1,beyonc�,2011
hold it against me,britney spears,2011
i'm into you,jennifer lopez,2011
papi,jennifer lopez,2011
cheers (drink to that),rihanna,2011
s&m remix,rihanna,2011
written in the stars (feat. eric turner),tinie tempah,2011
jar of hearts,christina perri,2011
castle walls (feat. christina aguilera),t.i.,2011
turning page,sleeping at last,2011
super bass,nicki minaj,2011
raise your glass,p!nk,2011
